Sample,SimpsonsIndex
Winter_Sharpsburg_1,0.03510427668965185
Fall_Sharpsburg_1,0.042693642316956895
Winter_Monongahela_3,0.07142878308120001
Fall_Monongahela_1,0.07357188708726667
Summer_Sharpsburg_2,0.03789783908130931
Fall_Monongahela_3,0.09288365912208499
Summer_Neville_2,0.06725441206646891
Fall_Allegheny_3,0.046339197757798885
Fall_Braddock_1,0.1101307110865008
Fall_Neville_1,0.040495488298277045
Spring_Braddock_1,0.06989964975296067
Fall_Braddock_3,0.05978105867199147
Fall_Braddock_2,0.12689618594801197
Fall_Sharpsburg_3,0.04924601077494458
Winter_Sharpsburg_3,0.02844587936242016
Spring_Sharpsburg_1,0.03285730770327844
Winter_Control_2,0.03326197452388605
Winter_Allegheny_3,0.06452817220689974
Fall_Sharpsburg_2,0.03172609418282547
Winter_Sharpsburg_2,0.027999426286786106
Winter_Monongahela_2,0.04824324324324325
Fall_Control_1,0.04959262421807785
Winter_Braddock_3,0.05455068438801826
Winter_Braddock_2,0.06809112964320439
Fall_Neville_2,0.061379007516600796
Spring_Monongahela_2,0.06253778120424706
Winter_Neville_1,0.04849511590383408
Summer_Braddock_1,0.03582765316894526
Spring_Neville_1,0.05440205326553903
Summer_Sharpsburg_1,0.04158165048975674
Spring_Braddock_2,0.07083350753212689
Spring_Control_1,0.0622213933158037
Fall_Sharpsburg_4,0.0397561946852242
Spring_Monongahela_1,0.030990405532279094
Winter_Allegheny_2,0.06409666124743858
Summer_Allegheny_1,0.04111981523672794
Fall_Neville_3,0.0679315647827759
Summer_Neville_1,0.035795270290189744
Winter_Neville_2,0.06066629935720844
Winter_Monongahela_1,0.036648190993627816
Winter_Braddock_1,0.05596847135038697
Summer_Braddock_2,0.0353760095018377
Fall_Allegheny_1,0.046998308294407244
Winter_Neville_3,0.0563280514885769
Summer_Monongahela_1,0.03876682973088425
Fall_Allegheny_2,0.036445754281579854
Fall_Control_3,0.10370121150097227
Fall_Monongahela_2,0.0863849704766057
Fall_Control_2,0.07529424876440821
